Author	Year	Title of the Article	Objective	General Challenges in the work	Methodology used in the proposed work	Name of the Dataset used in the proposed work	Evaluation Metrics and its values	Issues faced in developing the proposed work	Future work
Anshul Bawa, Pranav Khadpe, Pratik Joshi, Kalika Bali, Monojit Choudhury	2020	Do Multilingual Users Prefer Chat-bots that Code-mix? Let’s Nudge and Find Out!	To study whether multilingual users prefer chatbots that support code-mixing and adaptive language style	Modeling code-mixing behavior; adapting to user language proficiency	Human-in-the-loop chatbot with two code-mixing policies (Always CM, Nudge CM); user study (N=91)	Chat logs from controlled user study (English–Hindi) – Not public	User preference & human-likeness ratings; code-mixing bots rated higher than monolingual	Individual variability in language preference; risk of overusing code-mixing	Extend style adaptation to politeness, formality, and other linguistic dimensions
Ashwan Delbaz	2023	Natural Language Processing for Multilingual Chatbots: Techniques, Challenges, and Applications	To analyze NLP techniques, challenges, and applications in multilingual chatbot development	Low-resource languages; context preservation; code-switching	Literature review + experimental comparison of MT, cross-lingual embeddings, transformers	Public multilingual datasets – Public	Accuracy, coherence, contextual understanding (qualitative + quantitative)	Limited evaluation of voice-based chatbots	Improve contextual modeling; expand multilingual datasets
Aymen Ben Elhaj Mabrouk et al.	2021	A Multilingual African Embedding for FAQ Chatbots	To design a multilingual, multi-dialect chatbot for African crisis communication (COVID-19)	Lack of pretrained models for African dialects; data scarcity	Modified StarSpace embeddings; multilingual QA architecture; data augmentation	COVID-19 FAQ data from African institutions – Partially public	User satisfaction (qualitative); real-world deployment success	Dialect diversity; manual translation effort	Extend to more African dialects; generalize beyond COVID-19
Christian Abbet et al.	2018	Churn Intent Detection in Multilingual Chatbot Conversations and Social Media	To detect churn intent in chatbot conversations using multilingual models	Differentiating churn vs non-churn intent; multilingual transfer	CNN + Bi-GRU + Attention; multilingual word embeddings; transfer learning	English & German tweets + chatbot conversations – Public datasets released	Outperformed state-of-the-art churn detection models (F1-score improvement)	Annotation cost; ambiguity in user intent	Extend to more languages and real-world chatbot systems
Agnieszka Wo?k, Helena Skowro?ska, Ida Skubis	2021	Multilingual Chatbot for E-Commerce: Data Generation and Machine Translation	To build a cost-efficient multilingual e-commerce chatbot using MT	Data scarcity for inflectional languages; MT quality	English-based chatbot + MT pivot; data generation via dialogue scenarios	Generated multilingual e-commerce dialogue corpus – Not public	BLEU score > 48 (EN–DE translation)	Complexity of Polish language; corpus generation overhead	Extend to more languages; improve MT-based dialogue quality
Eleni Adamopoulou & Lefteris Moussiades	2020	An Overview of Chatbot Technology	Provide a comprehensive review of chatbot evolution, motivations, classification, architecture and platforms	Natural language understanding, classification complexity, integrating social factors in design	Literature review and analysis of historical evolution, classifications, architecture and platform discussion	No specific dataset (review paper)	Not applicable (survey without experiments)	Collecting and synthesizing diverse literature across chatbot types and technologies	Encourages deeper research into chatbot prospects, advanced interactions, and future design improvements
Bei Luo, Raymond Y. K. Lau, Chunping Li, Yain-Whar Si	2021	A critical review of state-of-the-art chatbot designs and applications	Critically analyze computational approaches, usability and applications of state-of-the-art chatbots	Complexities in comparing design approaches, lack of unified benchmarks, varied usability contexts	Systematic literature review of chatbot computational techniques and applications	No specific dataset (review article)	Not applicable (review without original experiments)	Lack of standardized evaluation metrics and real-world usability studies	Propose standardized benchmarks, further computational advancements, and broader usability and business application research
Jack Cahn	2017	CHATBOT: Architecture, Design, & Development	Provide overview of chatbot architecture and models, compare techniques like rule-based, IR, generative	NLP complexity, context tracking, balancing rules vs data models, evaluation difficulty	Review and architectural analysis of ASR, NLP models and chatbot approaches	No specific dataset; references multiple public corpora conceptually	Discusses standard metrics (accuracy, precision, recall, F1, PARADISE) but no numeric values	High development cost, data sparsity, repetitive responses, long-term goal definition, lack of benchmarks	Reinforcement learning dialogue policies, context-aware chatbots, better evaluation frameworks, larger datasets, stronger security
Ranoliya, Bhavika R.; Raghuwanshi, Nidhi; Singh, Sanjay	2017	Chatbot for University Related FAQs	Design a chatbot to answer university FAQs efficiently and accurately using a combination of Artificial Intelligence Markup Language (AIML) and Latent Semantic Analysis (LSA)	Ensuring chatbot gives accurate and context-appropriate answers and handles varied queries	Design and implementation of a chatbot using AIML for template/general Q&A and LSA for service questions	University FAQs dataset (derived set of university frequently asked questions; publicly usable but not a standard public dataset)	Not applicable (no experimental evaluation metrics reported in the conference version)	Challenges include efficient response generation across varied question types and selecting appropriate techniques for both template and semantic understanding	Future work could focus on enhancing natural language understanding, expanding dataset coverage and improving efficiency and accuracy of responses
Abbas Saliimi Lokman & Mohamed Ariff Ameedeen	2018	Modern Chatbot Systems: A Technical Review	Provide a technical review of five modern chatbot systems (DeepProbe, AliMe, SuperAgent, MILABOT, RubyStar) focusing on architecture and implementation	Challenges in architectural design and implementation comparisons, varied domains, hybrid approaches trade-offs	Technical literature review analyzing architectural design (knowledge domain, response generation, text processing, ML models) and implementation (datasets, evaluation strategies)	for each chatbot case (review work, not a specific dataset)	Not applicable (no original experimental metrics reported; focuses on review and summary)	Comparing diverse system designs, limited access to detailed implementation data, harmonizing evaluation strategies	Outlook on future chatbot design roadmap, insights on hybrid methods, improved evaluation, and implementation strategies
Francesco Colace; Massimo De Santo; Marco Lombardi; Francesco Pascale; Antonio Pietrosanto; Saverio Lemma	2018	Chatbot for E-Learning: A Case of Study	Design and implement an educational chatbot prototype that supports university students during learning activities using NLP and ontologies	Efficiently interpreting natural language student queries and providing appropriate responses, building e-learning ontology, conversational workflow management	Developed chatbot architecture with front-end, back-office, knowledge base, and e-learning bot modules using NLP, ontologies, LDA inference engine and Petri net workflow; implemented and tested in real university courses	Experimental dataset collected from usage by students at University of Salerno (not a public benchmark dataset)	Correct suggestion: 71.13% ; Correct but not suitable: 16.04% ; Wrong suggestion: 12.83% (from experimental evaluation on student interactions)	System failure in ambiguous queries, misidentifying specific language context, and interpreting real user needs	Apply the approach in various contexts, improve e-learning platform integration, and refine system effectiveness
Marita B. Skjuve; Asbjørn Følstad; Knut Inge Fostervold; Petter Bae Brandtzaeg	2021	My Chatbot Companion - a Study of Human-Chatbot Relationships	Explore how human-chatbot relationships (HCRs) develop and impact users using qualitative interviews guided by Social Penetration Theory	Understanding subjective emotional and social connection with chatbots; interpreting qualitative HCR development	Conducted qualitative interviews with 18 participants who developed friendship with the Replika social chatbot	Interaction/interview data from Replika chatbot users (not a publicly available benchmark dataset)	Not applicable (qualitative study; no numerical metrics reported)	Interpreting subjective relational dynamics and emotional effects; contextualizing HCRs in broader social life	Suggest future longitudinal studies, broader populations, and deeper investigation of emotional/social effects in HCRs
Menal Dahiya	2017	A Tool of Conversation: Chatbot	Provide an overview of chatbot design and implementation using pattern matching and Java for basic conversational systems	Simplistic pattern matching limits complexity of conversation; difficulty handling complex/contextual queries	Design and implementation study of a text-based chatbot using pattern matching, Java applets, dialog box interface, and predefined request-response database	Custom pattern-matching database from Java applet implementation (not publicly available)	Not applicable (no formal evaluation metrics reported)	Limited to simple responses, cannot handle complex queries or deep semantic understanding	Propose future improvements in design approaches, expanded knowledge handling, and broader application contexts
Ana Paula Chaves; Marco Aurelio Gerosa	2021	How Should My Chatbot Interact? A Survey on Social Characteristics in Human–Chatbot Interaction Design	Survey how social characteristics in chatbot interaction influence user experience and design, by analyzing literature on human-chatbot interaction	Challenges in integrating social behaviors into chatbot design, varied definitions of social traits, balancing functional and social aspects	Systematic literature review of 56 papers on human-chatbot interaction focusing on social characteristics, conceptual model derivation	No specific dataset; analysis based on literature (not a public dataset)	Not applicable (review work without quantitative performance metrics)	Synthesizing diverse findings on social traits and interaction design; lack of unified evaluation standards	Suggest additional research on designing social features, their effects on user satisfaction, and standardized evaluation frameworks
Pongsakorn Limna; Tanpat Kraiwanit; Kris Jangjarat; Prapasiri Klayklung; Piyawatjana Chocksathaporn	2023	The Use of ChatGPT in the Digital Era: Perspectives on Chatbot Implementation	Explore educators’ and students’ perceptions of ChatGPT (an AI chatbot) use in education during the digital era	Concerns about accuracy of information, potential loss of teacher interaction, privacy/data security issues	Qualitative research with in-depth interviews of 10 educators and 15 students; data analyzed by content analysis (NVivo)	Interview data from educators and students in Thai institutions (not a publicly available dataset)	Not applicable (qualitative study; no numeric evaluation metrics reported)	Interpreting subjective perceptions, concerns about accuracy and social interaction, and contextualizing ChatGPT use in educational settings	Recommend addressing accuracy and privacy concerns, provide guidance for implementation, and explore long-term effects and comparative studies
Guruswami Hiremath; Aishwarya Hajare; Priyanka Bhosale; Rasika Nanaware; Dr. K. S. Wagh	2018	Chatbot for Education System	Develop an automated chatbot to answer user queries for an education system by combining local and web database responses	Handling natural language queries accurately, making the system scalable, user-friendly, and highly interactive	Implemented a chatbot using pattern matching, NLP, machine learning, and data processing algorithms leveraging both local and web databases	Custom chatbot dataset from education system query logs (not a publicly available dataset)	Not applicable (no formal quantitative evaluation metrics reported)	Interpreting varied natural language queries, achieving scalability and interaction quality	Enhance online data retrieval when static data missing and improve answer coverage via web integration
Rashmi Dharwadkar; Neeta A. Deshpande	2018	A Medical ChatBot	Create a medical chatbot using NLP, Google API (voice-text & text-voice) to let users ask healthcare queries without physically visiting hospitals	Handling varied natural language health queries accurately and providing meaningful responses in voice/text formats	Developed a web-based medical chatbot platform using NLP, Google API for voice-text/text-voice conversion, SVM classifier for predictions, NLP analysis, and semantic matching	Custom medical chatbot dataset (collected for system training; not a public benchmark dataset)	Accuracy varies with algorithm: SVM classification showed ~94% vs KNN/Naive Bayes comparisons in internal tests (reported in experimental section)	Interpreting ambiguous healthcare queries, speech/text conversion complexities, and achieving reliable predictions in voice & text interfaces	Extend system with voice & face recognition, deeper interaction features, broader clinical applicability, and enhanced predictive models
Michael R. King	2022	The Future of AI in Medicine: A Perspective from a Chatbot	Discuss perspectives on how AI chatbots (like ChatGPT) may transform medical practice, healthcare data analysis, diagnostics, and personalized treatment	Challenges include ethical issues, data privacy and security, potential bias in AI, and over-reliance on machine decisions	Editorial commentary reflecting on AI/chatbot roles in medicine, possibilities for diagnosis support, data analysis, and treatment personalization	No original dataset used (editorial perspective, commentary; not empirical data)	Not applicable (editorial perspective with no quantitative evaluation metrics)	Risk of bias and discrimination, privacy/security of sensitive medical data, and misuse or over-reliance on AI in clinical contexts	Recommend further research on ethical safeguards, rigorous clinical validation, responsible use in healthcare, and addressing risks associated with bias and privacy
Bayan AbuShawar; Eric Atwell	2015	ALICE Chatbot: Trials and Outputs	Present an overview of the ALICE chatbot, its AIML knowledge-base format, and methods to generate ALICE prototypes from corpora	Manual building of AIML knowledge bases, limited NLP sophistication compared with modern techniques	Overview and experimental generation of ALICE chatbot prototypes using AIML pattern-matching and a software program to convert corpora into AIML rules	Corpora used to generate AIML prototype models (custom corpora; not a standard public dataset)	Not applicable (no quantitative evaluation metrics reported in the article)	Large number of hand-coded patterns needed for meaningful outputs, simplicity of AIML pattern matching limits conversational depth	Recommend further research in automating knowledge generation and exploring richer NLP techniques
Tatwadarshi P. Nagarhalli; Vinod Vaze; N. K. Rana	2020	A Review of Current Trends in the Development of Chatbot Systems	Survey recent chatbot systems across various domains and analyze trends in knowledge types, domains, and development approaches	Challenges in NLP techniques, knowledge representation types, limited depth in chatbot research, and varied domain adaptation	Literature review of recent chatbot systems, categorizing trends in knowledge sources, domains, and natural language processing approaches	No specific dataset (review/survey of other works; no empirical dataset)	Not applicable (review, no experimental evaluation metrics)	Synthesizing diverse chatbot research contributions, lack of detailed implementation/performance data in many reviewed works	Suggest more research in NLP methods, unstructured data handling, diverse domain applications, and deeper evaluation of chatbot capabilities
Eleni Adamopoulou; Lefteris Moussiades	2020	An Overview of Chatbot Technology	To present a comprehensive historical overview of chatbots’ evolution, motivations for their use, classification criteria, and architecture.	Social stereotypes affecting chatbot design; lack of standard evaluation frameworks.	Literature survey of existing chatbot systems and architectures.	Not applicable (survey of literature)	Not applicable (review article)	None (conceptual study)	Exploring and comparing existing chatbot platforms; examining current chatbots’ ingenuity and functionality; studying ethical issues like user deception.
Bhavika R. Ranoliya et al.	2017	Chatbot for University-Related FAQs	To design a chatbot that provides efficient and accurate answers to users’ frequently asked questions about university information.	Handling off-script or unanticipated queries due to limited training data.	Rule-based chatbot using AIML and integration with PandoraBots.	University FAQ corpus (university information dataset)	Not specified	Limited dataset scope, no social media or speech integration.	Combine AIML with LSA for more natural interaction; expand coverage for general queries.
Joshua E. Chukwuere	2024	The Future of AI Chatbots in Higher Education	To explore potential impacts of AI chatbots in higher education, including opportunities for student support and administrative tasks.	Academic integrity concerns; understanding diverse user inputs; ethical considerations.	Narrative literature review (NLR) of existing AI chatbot research in higher education.	Not specified (review)	Not specified	Ensuring academic integrity, varied user inputs, and allocating resources.	Develop policies for responsible chatbot use; investigate long-term learning outcomes and fairness.
Ana Paula Barretto et al.	2021	How Should Minds Meet Social Chatbots? A Systematic Literature Review	To survey existing research on social chatbots and their user interactions.	Integrating social features; lack of standardized evaluation methods; interdisciplinary challenges.	Systematic literature review of studies on social chatbots.	Not specified	Not specified	No specific dataset; varied subjective user studies.	Research on designing social features, effects on user satisfaction, and standardized evaluations.
Francesco Ricci et al.	2018	Chatbot for E-Learning: A Case Study	To design and implement a chatbot for e-learning that can interpret student queries and provide appropriate responses.	Ambiguities in natural language understanding within e-learning.	Experimental implementation of a rule-based chatbot in e-learning.	Custom e-learning dialogue dataset	Success/failure rate of student queries answered (accuracy)	System failures on ambiguous queries.	Extend to other educational contexts; refine system accuracy using advanced NLP.
Yining Hua et al.	2025	Standardizing and Scaffolding Health Care AI-Chatbot Evaluation: Systematic Review	To propose a standardized evaluation framework for AI-based healthcare chatbots.	Lack of consistent evaluation methods; challenges ensuring safety, privacy, and effectiveness.	Systematic review and framework development (HAICEF).	Not applicable (review)	271 evaluation questions across six domains including trustworthiness and effectiveness.	Complexity in unifying diverse chatbot use cases; absence of benchmarking.	Further clinical validation of framework; application to emerging chatbot systems.
Tim Debets et al.	2025	Chatbots in Education: A Systematic Review	To analyze objectives, technology, theory, and evaluation criteria of educational chatbots.	Lack of long-term studies and pedagogical theory; publication bias.	Systematic review of 71 studies.	Not specified	User perception; effectiveness in meeting learning objectives.	Short-term scope of many studies; lack of theory-informed design.	Conduct long-term studies; incorporate explicit pedagogical frameworks.
M. K. Saravana et al.	2025	Multilingual Chatbot Development Using Pre-Trained Language Models: A Survey	To explore multilingual chatbot development using PLMs.	Cultural bias; high computational cost; resource limitations for low-resource languages.	Survey of PLM techniques: adapter tuning, distillation, transfer learning.	Not specified	Not specified	Biases; domain adaptation issues; limited low-resource data.	Enhance multilingual performance; explore zero-shot approaches.
Anna Grøndahl Larsen; Asbjørn Følstad	2024	The Impact of Chatbots on Public Service Provision	To assess the effectiveness of government chatbots through qualitative interviews.	Limited feedback systems; trust in automated public services.	Qualitative interviews with citizens and providers in Norway.	Interview transcripts	Thematic analysis of feedback and satisfaction.	Small sample size; generalizability concerns.	Design chatbot-specific evaluation metrics; scale interviews to more populations.
Sajjad Hyder; Javed Kittur	2026	Designing Intelligent Chatbots with ChatGPT	To provide a design and implementation framework for ChatGPT-powered chatbots.	Prompt inconsistencies; ethical issues in deployment.	Literature review of 40 ChatGPT chatbot studies; framework synthesis.	Not specified	Not specified	Difficulties in designing consistent and reliable conversations.	Refine prompt engineering; improve ethical oversight.
Mikio Nakano et al.	2024	Dialogue Systems Engineering: A Survey and Future Directions	To define chatbot development as a formal engineering process.	Lack of formal methods for testing and maintenance; integration bottlenecks.	Survey using software engineering principles (SWEBOK).	Not applicable (theoretical)	Not specified	Gap in life-cycle standards for chatbot systems.	Develop end-to-end chatbot development lifecycles and testing practices.
Kevin-Justin Schwedler et al.	2025	Telemedicine and AI-Powered Chatbots	To assess caregiver attitudes toward AI chatbots in home care.	Lack of emotional sensitivity; acceptance and trust issues.	Online caregiver survey and benefit analysis.	Questionnaire responses (n=62)	Likert scale ratings and qualitative feedback.	Small sample; subjective emotional interpretations.	Include larger sample; develop emotionally aware conversational agents.
Esraa Abdelhalim et al.	2024	A Framework of Diversity, Equity, and Inclusion Safeguards for Chatbots	To establish DEI safeguards for chatbot systems.	Bias and stereotyping in chatbot outputs; lack of DEI design awareness.	Case analysis of real-world chatbot incidents; framework proposal.	Not specified	Not specified	Difficulty in operationalizing fairness in conversational flow.	Implement safeguard framework; evaluate across domains like HR and education.
Attila Kovari	2025	Explainable AI Chatbots towards XAI ChatGPT	To review techniques for making ChatGPT more explainable.	Trade-off between performance and transparency.	Review of XAI tools for conversational agents.	Not specified	Not specified	Difficulty balancing linguistic quality with traceability.	Improve user-centered explanations; combine symbolic + neural methods.
Namrye Son et al.	2025	Development and Evaluation of a RAG-Based Electronic Medical Record Chatbot System	To build a hospital admin chatbot using retrieval-augmented generation.	Scalability and domain-specific accuracy; multilingual support.	Fine-tuned multilingual model with vector-based retrieval.	5,931 EMR Q&A pairs (Korean dataset)	Top-1 retrieval accuracy; response time.	Performance trade-offs between accuracy and latency.	Expand coverage to clinical queries; test in live hospital systems.
